Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 2, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 3, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 4, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 5, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 6, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 7, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 8, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 9, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 10, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 11, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 12, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 13, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 14, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 15, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 16, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 17, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 18, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 19, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 20, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 21, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 22, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 23, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 24, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 25, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 26, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 27, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 28, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 29, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 30, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 31, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 32, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 33, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 34, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 35, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 36, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 37, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 38, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 39, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 40, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 41, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 42, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 43, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 44, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 45, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 46, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 47, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 48, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 49, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 50, 2018",6896921.775588292,823154.5764969337,3979.169633784205,1353386.4423188074,39115.89185024899
"Week 51, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 52, 2018",6393830.664643493,763110.1445251335,3688.9119018806773,1254664.6196045398,36262.61061452556
"Week 1, 2019",942152.444145916,112446.84533055051,543.5735706631555,184879.04981289242,5343.417586973562
