Week number,Kilometers,electricity consumption kWh,gasoline consumption litres,diesel consumption litres,hydrogen consumption kg,LPG consumption litres,CNG consumption kg
"Week 1, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 2, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 3, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 4, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 5, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 6, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 7, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 8, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 9, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 10, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 11, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 12, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 13, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 14, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 15, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 16, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 17, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 18, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 19, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 20, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 21, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 22, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 23, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 24, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 25, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 26, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 27, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 28, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 29, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 30, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 31, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 32, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 33, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 34, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 35, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 36, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 37, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 38, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 39, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 40, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 41, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 42, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 43, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
"Week 44, 2018",241.51111115999998,35.043262229316,15.674071114283999,13.452168891611999,1.835484444816,22.21902222672,11.133662224476
