Time Tag,Hour Number,SPINE_hour_number,Day Type,Hour index from day start,Reference charge drawn from network (kWh),Connected Battery space (kWh),Connected State of charge (kWh),Connected Battery capacity (kWh),Demand for next leg (kWh) (from network),Demand for next leg (kWh) (to vehicle),Connected vehicles (%),Charging Power from Network (kW),Charging Power to Vehicles (kW),Vehicle Discharge Power (kW),Discharge Power to Network (kW),Effective charging efficiency,Effective discharge efficiency
2018-01-16 19:00:00,380,t0380,weekday_in_work_week,14,0.5901084984534419,0.14255616935580884,38.206011897927624,38.34856806728343,35.13602431126577,29.865620664575907,0.4793571008410429,12.406889668826992,10.545856218502944,15.480585545618045,13.158497713775336,0.8500000000000001,0.8499999999999999
2018-01-16 20:00:00,381,t0381,weekday_in_work_week,15,0.7381389247817922,0.09842261480860225,50.24369857303308,50.342121187841684,41.342974233057504,35.14152809809888,0.629276514848021,16.287156854889957,13.844083326656463,16.930201473146568,14.390671252174583,0.85,0.85
2018-01-16 21:00:00,382,t0382,weekday_in_work_week,16,0.5469406635001917,0.10053245044705467,42.411427141981726,42.51195959242878,0.06621032466633034,0.05627877596638079,0.5313994949053598,13.75386927990343,11.690788887917915,16.342836912279633,13.891411375437688,0.85,0.85
2018-01-16 22:00:00,383,t0383,weekday_in_work_week,17,0.9719549163808303,8.79360218329608e-07,77.80702056961798,77.80702144897819,0.0,0.0,0.9725877681122275,25.17285988055177,21.396930898469005,21.39695211781442,18.187409300142257,0.8500000000000001,0.8500000000000001
2018-01-16 23:00:00,384,t0384,weekday_in_work_week,18,0.11192027916034261,0.0,79.99999999999983,79.99999999999983,0.0,0.0,0.9999999999999978,25.882352941176414,21.99999999999995,21.999999999999922,18.699999999999935,0.85,0.8500000000000001
2018-01-17 00:00:00,385,t0385,weekday_in_work_week,19,0.0,0.0,79.99999999999983,79.99999999999983,0.0,0.0,0.9999999999999978,25.882352941176414,21.99999999999995,21.999999999999922,18.699999999999935,0.85,0.8500000000000001
2018-01-17 01:00:00,386,t0386,weekday_in_work_week,20,0.0,0.0,79.99999999999983,79.99999999999983,0.0,0.0,0.9999999999999978,25.882352941176414,21.99999999999995,21.999999999999922,18.699999999999935,0.85,0.8500000000000001
2018-01-17 02:00:00,387,t0387,weekday_in_work_week,21,0.0,0.0,79.99999999999983,79.99999999999983,0.0,0.0,0.9999999999999978,25.882352941176414,21.99999999999995,21.999999999999922,18.699999999999935,0.85,0.8500000000000001
2018-01-17 03:00:00,388,t0388,weekday_in_work_week,22,0.0,0.0,79.99999999999983,79.99999999999983,0.0,0.0,0.9999999999999978,25.882352941176414,21.99999999999995,21.999999999999922,18.699999999999935,0.85,0.8500000000000001
2018-01-17 04:00:00,389,t0389,weekday_in_work_week,23,0.0,0.0,79.99999999999983,79.99999999999983,0.0,0.0,0.9999999999999978,25.882352941176414,21.99999999999995,21.999999999999922,18.699999999999935,0.85,0.8500000000000001
2018-01-17 05:00:00,390,t0390,weekday_in_work_week,0,0.0,0.0,80.0,80.0,0.11917799566008824,0.10130129631107501,1.0,25.88235294117647,22.0,22.0,18.7,0.85,0.85
2018-01-17 06:00:00,391,t0391,weekday_in_work_week,1,0.007172749731628858,0.004572627953913397,71.19913107454609,71.2037037025,0.799803487141628,0.6798329640703838,0.89004629628125,23.036492374338238,19.5810185181875,20.57407407275,17.4879629618375,0.8499999999999999,0.85
2018-01-17 07:00:00,392,t0392,weekday_in_work_week,2,0.1377147512168288,0.021913440116650657,37.57253099638335,37.5944444365,5.247528526925877,4.460399247886995,0.46993055545624995,12.162908494161764,10.338472220037499,15.09749999285,12.8328749939225,0.85,0.85
2018-01-17 08:00:00,393,t0393,weekday_in_work_week,3,0.1871429154418115,0.0645727693957288,15.773295869476348,15.837868638872077,12.701727559267043,10.796468425376986,0.19797335798590096,5.124016324340966,4.3554138756898215,11.47859995355929,9.756809960525395,0.8500000000000001,0.8499999999999999
2018-01-17 09:00:00,394,t0394,weekday_in_work_week,4,0.30748381366862976,0.09111781115089752,15.527417840350468,15.618535651501366,18.9465200275003,16.104542023375256,0.19523169564376708,5.053055651956324,4.2950973041628755,11.4848336674515,9.762108617333777,0.85,0.8500000000000001
2018-01-17 10:00:00,395,t0395,weekday_in_work_week,5,0.4663212667463048,0.12408605379081795,17.64871912197802,17.772805175768838,20.25420346971136,17.216072949254656,0.22216006469711047,5.750025203925212,4.88752142333643,12.192307947345736,10.363461755243875,0.8500000000000001,0.85
2018-01-17 11:00:00,396,t0396,weekday_in_work_week,6,0.8455935206635276,0.13372797031533473,25.98799693510781,26.121724905423143,22.11755822468775,18.799924490984587,0.3265215613177893,8.451146292931018,7.183474348991365,13.71403119125397,11.656926512565873,0.85,0.8499999999999999
2018-01-17 12:00:00,397,t0397,weekday_in_work_week,7,0.8000226052323947,0.14863701679946068,36.50296621204172,36.65160322884118,18.643819402062714,15.847246491753307,0.45814504036051473,11.857871632860382,10.079190887931324,14.5413417263138,12.36014046736673,0.8499999999999999,0.85
